 ,              17275 ,        0 ,       1 ,
 ,              19833 ,        1 ,       1 ,
 ,              19578 ,        2 ,       1 ,
 ,              20563 ,        3 ,       1 ,
 ,              12187 ,        4 ,       1 ,
 ,              18485 ,        5 ,       1 ,
 ,              19543 ,        6 ,       1 ,
 ,              19261 ,        7 ,       1 ,
 ,              12510 ,        8 ,       1 ,
 ,              10805 ,        9 ,       1 ,
 ,              15503 ,       10 ,       1 ,
 ,              13138 ,       11 ,       1 ,
 ,              12808 ,       12 ,       1 ,
 ,              10954 ,       13 ,       1 ,
 ,              13537 ,       14 ,       1 ,
 ,              10570 ,       15 ,       1 ,
 ,               1992 ,        0 ,       2 ,
 ,               1981 ,        1 ,       2 ,
 ,               2040 ,        2 ,       2 ,
 ,               1949 ,        3 ,       2 ,
 ,               1714 ,        4 ,       2 ,
 ,               2294 ,        5 ,       2 ,
 ,               1857 ,        6 ,       2 ,
 ,               1851 ,        7 ,       2 ,
 ,               2005 ,        8 ,       2 ,
 ,               2134 ,        9 ,       2 ,
 ,               2140 ,       10 ,       2 ,
 ,               2072 ,       11 ,       2 ,
 ,               2044 ,       12 ,       2 ,
 ,               1969 ,       13 ,       2 ,
 ,               1947 ,       14 ,       2 ,
 ,               2177 ,       15 ,       2 ,
 ,              16773 ,        0 ,       1 ,
 ,              19277 ,        1 ,       1 ,
 ,              19102 ,        2 ,       1 ,
 ,              20176 ,        3 ,       1 ,
 ,              11883 ,        4 ,       1 ,
 ,              17952 ,        5 ,       1 ,
 ,              18918 ,        6 ,       1 ,
 ,              18775 ,        7 ,       1 ,
 ,              12217 ,        8 ,       1 ,
 ,              10515 ,        9 ,       1 ,
 ,              15195 ,       10 ,       1 ,
 ,              12931 ,       11 ,       1 ,
 ,              12587 ,       12 ,       1 ,
 ,              10748 ,       13 ,       1 ,
 ,              13276 ,       14 ,       1 ,
 ,              10373 ,       15 ,       1 ,
 ,               2000 ,        0 ,       2 ,
 ,               1975 ,        1 ,       2 ,
 ,               2050 ,        2 ,       2 ,
 ,               1957 ,        3 ,       2 ,
 ,               1713 ,        4 ,       2 ,
 ,               2276 ,        5 ,       2 ,
 ,               1863 ,        6 ,       2 ,
 ,               1867 ,        7 ,       2 ,
 ,               2022 ,        8 ,       2 ,
 ,               2125 ,        9 ,       2 ,
 ,               2157 ,       10 ,       2 ,
 ,               2073 ,       11 ,       2 ,
 ,               2049 ,       12 ,       2 ,
 ,               1978 ,       13 ,       2 ,
 ,               1959 ,       14 ,       2 ,
 ,               2169 ,       15 ,       2 ,
 ,              16367 ,        0 ,       1 ,
 ,              18894 ,        1 ,       1 ,
 ,              18793 ,        2 ,       1 ,
 ,              19974 ,        3 ,       1 ,
 ,              11747 ,        4 ,       1 ,
 ,              17652 ,        5 ,       1 ,
 ,              18540 ,        6 ,       1 ,
 ,              18447 ,        7 ,       1 ,
 ,              12052 ,        8 ,       1 ,
 ,              10342 ,        9 ,       1 ,
 ,              15020 ,       10 ,       1 ,
 ,              12831 ,       11 ,       1 ,
 ,              12448 ,       12 ,       1 ,
 ,              10577 ,       13 ,       1 ,
 ,              13062 ,       14 ,       1 ,
 ,              10236 ,       15 ,       1 ,
 ,               1995 ,        0 ,       2 ,
 ,               1958 ,        1 ,       2 ,
 ,               2054 ,        2 ,       2 ,
 ,               1961 ,        3 ,       2 ,
 ,               1714 ,        4 ,       2 ,
 ,               2287 ,        5 ,       2 ,
 ,               1863 ,        6 ,       2 ,
 ,               1869 ,        7 ,       2 ,
 ,               2020 ,        8 ,       2 ,
 ,               2109 ,        9 ,       2 ,
 ,               2148 ,       10 ,       2 ,
 ,               2071 ,       11 ,       2 ,
 ,               2033 ,       12 ,       2 ,
 ,               1959 ,       13 ,       2 ,
 ,               1946 ,       14 ,       2 ,
 ,               2184 ,       15 ,       2 ,
 
